restaurant,Asian Cuisine,Dining Experience,Food Quality,Service Speed,Staff Friendliness,Value for Money,Western Cuisine,avg_rating,review_count,Asian Cuisine_text,Dining Experience_text,Food Quality_text,Service Speed_text,Staff Friendliness_text,Value for Money_text,Western Cuisine_text
Absolute Thai,3.0,3.0,4.0377417,1.7370297,4.8791804,4.1151605,3.0,3.642857142857143,98,No specific mentions.,No specific mentions.,"We went to Absolute Thai @sunwayputramall which was absolutely amazing! The best, most authentic, Thai food u will find without actually being in Thailand. The Tom yam soup, is life changing. The dept...","We visited this restaurant @ground floor of Sunway Putra shopping mall Kuala Lumpur. It was dinner time. At the entrance, no service staff was present to welcome us. We looked for a table for four by ...","I had lunch with my friends on a working day while in KL.The food ordered there are delicious. The soups which we had are extraordinary in taste. I enjoyed all the items and especially the omelette, w...",Such a great place and a lot of choices on the menu. The garlic fish was awesome and everyone of us was very pleased with the food. Anytime again.,No specific mentions.
Acme Bar & Coffee at The Troika,3.0,3.0,3.554205,1.735083,4.7493873,3.9679732,3.0,3.336206896551724,232,No specific mentions.,No specific mentions.,"I was very happy that I came here. First off, the atmosphere of this place is really awesome. It has a very modern feel, but is also made to be homey with lots of plant life. I loved their very large ...","The food we ended up with was good, but both I and a companion had to accept our second choice, since our first choices were 'finished already'. My friend was unable to order his choice of dessert, as...","I went to this Restaurant on Christmas Lunch to celebrate my friend birthday. The decoration was awesome, made us feel like back home! We didn't have a reservation but we were happily seated by a frie...","Very recommended! Foods, drinks and cakes are very nice. And the employees are very friendly. Very nice ambience and design.",No specific mentions.
Ah Koong Restaurant (Pudu),3.0,3.0,4.0332623,3.0,3.0,4.2689786,3.0,3.730769230769231,26,No specific mentions.,No specific mentions.,"Love their servings, especially loved their Tom yum soup and white rice noodles with the fish balls! Lots of drinks also on offer.",My last trip to this place os like 4-5 years ago. The place doesnt change at all except that they have more crowd. Maybe they have some changes in their food but couldnt notice as its been a long whil...,"Love the noodle and the soup, price is affordable, this place is always crowded. Fast queue no worries. Must place to visit for us.",one of the most visited restaurant and staff at 1u outlet are attentive ....foods are great and staff helped to get you table during peak hour,No specific mentions.
Al Andalus Restaurant,3.0,3.0,3.0,3.0,3.0,4.1133432,3.0,3.8666666666666663,15,No specific mentions.,No specific mentions.,"We visited this restaurant again in October after dining there many times following our discovery two years ago.We dined on “Hummus"""""""" (chickpea and sesame paste dip), “Tabouleh"""""""" (flat leaf parsle...",No specific mentions.,Alandalus is a nice place to eat smoke shisha and have a great variety of food. You can try the BBQ or try the Libyan couscous which is awesome the food comes in big portions. The staff are helpful th...,"Great place for good, tasty, reasonably priced Middle Eastern food, which was served rather quickly. Really nice for chilling out with buddies too with shisha.",No specific mentions.
Al Halabi Lounge,3.0,3.0,3.0,3.0,4.9745507,4.6387672,3.0,4.352941176470588,17,No specific mentions.,No specific mentions.,"fantastic food, clean, and  friendl. my best dish is sheesh chicken kebab with rice and fattoosh salad and Mohallabia for dessert","Go alone to have a quick lunch, manage to get table without any reservation require. But the food take a bit longer time to arrive but staff was attentive.",We had been here for 2 consecutive nights.  Lovely environment.  We love the food and will definitely come back again.,"The best arabic restaurant in Malaysia, the food taste & quality are excellent and fresh all the time. The prices are really suitable compared to other restaurants in the area.",No specific mentions.
Al Rawsha Restaurant Kuala Lumpur,3.0,3.0,4.4103065,3.0,4.9745193,4.3705273,3.0,4.108695652173913,46,No specific mentions.,No specific mentions.,"Food was very filling despite the looks of it. Price was reasonable, very cheap. Would really recommend the Lamb Kebab as it was much juicier compared to the Chicken. Overall service was great & mint ...","Food and desserts were delicious. Couldn’t remember what I ordered though. But I feel like the service rendered could be better. Probably they lack manpower,it was a busy weekend night,although not fu...","Great place, loved the food and the area! Shannon was amazing, and I would definitely come back. 10/10","Firstly, you cannot take your eyes of the Restaurant, it looks just like a Castle!Very easy to find parking and I was surprised this is open 24 hoursThe Staff is extremely friendly and very politeThe ...",No specific mentions.
Al diafah Express,3.0,3.0,4.9636054,3.0,3.0,4.796517,3.0,4.5,18,No specific mentions.,No specific mentions.,Nice restaurant with great food good service love it all especially the mendy rice with lamb And the bbq dishes 😋,"The whole family attended to an event in the area. 5 adults and 4 strapping kids. Lunch time, we decided on Al Diafah Restaurant in Sri Petaling. One was suitably impressed, given the surrounding and ...","My husband and I have visited here many many times. We love it. We love the ambiance, the customer service, but we especially love love love the food.We have taken many friends here and they have fall...","Do try the rice dishes - all of them are tasty, the sandwiches & kababs - are tasty, the humus - are the greatest!The Middle Eastern interior ambiance is very, very classic and relaxing.You could also...",No specific mentions.
Al-Amar,3.0,3.0,4.0031137,2.1173313,4.7126827,4.059104,3.0,3.909090909090909,550,No specific mentions.,No specific mentions.,"Great restaurant! Service was quick and friendly, food was delicious and healthy. We were craving for some veggies and got plenty on the vegetable platter. Hummus beiruti with bread was very good, and...",i came here for the last day of a 4 month trip with my partner. we both wanted to end on a high note for our last meal and Al Amar did not disappoint.the lamb i had was cooked perfectly and the sauces...,"Introduced to this place by Ms. Aisha. Went there with friends today. Greeted and served nicely by the waiters/servers and even the manager. Love the food especially the Lamb Shank Briyani, the soup a...",We had a lovely evening meal at Al-Amar in the Pavilion Mall.  Excellent Lebanese meze food and delicious hot bread for dipping.  The service was good too.  One of the nicest meals we had during our s...,No specific mentions.
Al-Amar Express,3.0,3.0,3.5143986,3.0,3.0,4.6731324,3.0,4.0,26,No specific mentions.,No specific mentions.,"Having tried the really excellent full service Al-Amar at the top floor of pavilion mall, and with the 1 kebab for 10rm and 2 kebabs for 16rm promotion catching my eye), I decided to give the beef keb...","I normally never write reviews, but this customer service experience was so bad that people need to be warned of going there.- Ridiculously long waiting time (one hour until the main dish was served, ...",We just had a quick lunch. The food was excellent... so tasty.. and the service was very professional. Would highly recommend,A good place to visit. Very friendly staff . Clean and nice place. Food was good too. Location ideal in front of pavilion.,No specific mentions.
Al-Halabi Gourmet Restaurant,3.0,3.0,4.3300734,1.875192,4.920287,4.703742,3.0,4.435114503816794,131,No specific mentions.,No specific mentions.,"Not sure if it is the owner or manager, but he is always smiling and greets each guest warmly. Very welcoming. We dined here twice, having different dishes with exception to the salad - Fetoush Al Hal...",Our fantastic JW Marriott staff recommended this restaurant at the Pavilion in KL. We were not disappointed. The food was excellent. We were a party of 8 with 3 children - we were greeted and seated p...,I just chanced upon this restaurant. Awesome food and great service! Thank you for the delicious food. It was the best on this trip.,We absolutely loved the food! The appetiser platter is a must! The biriyani was so good too! I wish they open one in Singapore too!,No specific mentions.
Alexis,3.0,3.0,4.495792,2.0027997,4.693786,4.340683,3.0,3.588709677419355,124,No specific mentions.,"We went there to get their tiramisu, and boy, it did not disappoint! The best tiramisu cake we ever had. I wish we took the whole cake instead of just 3 slices :(",My husband's friend brought us here. Suprised that they have Filipinos waiters so it was easier for us to order. The kids customized their bolognese with spaghetti pasta. It was good. My son was able ...,"Visited with wife, 2 yr old and 2 week old. Met with a smile, walked straight to a table with pram space whilst a waitress who saw us arrive fetched a highchair. We all arrived at the table together s...",The tuna salad I ordered was so delicious and restored my faith in dining out again!!!! Service was top notch- amazing and friendly. Ambience was really nice with French music playing in the backgroun...,"After shopping at BSC, there is no greater place than Alexis where one can get not only good food but fine wine too! it is a great place where one can order not only Malaysian style dishes but western...",The favorite thin crust pizza is no longer tasty like before...same pricey compared to the humble Pizza Domino!
Alexis Ampang,3.0,3.0,4.198804,2.2451546,4.97359,4.0060153,3.0,3.652173913043478,69,No specific mentions.,No specific mentions.,"Slightly overpriced, but the cakes tastes so good. Loving the Pavlova!!","We booked a table for 2 & when we arrived it was almost full.Food is avarage but prices compare to food quality are expensive.If you want to listen to great live music, you have to eat dinner there.St...",It was good night out with my gf (now my wife). We had red wine and we both enjoyed the jazz music that night. The cake was delicious and my wife loved it so much that she always ask me to bring her h...,"The best thing about Alexis apart from the heavenly Pavlova, is that the menu caters for everyone. Though the menu doesnt have a lot of options but it does have something to everyone. Western, local M...",No specific mentions.
Alexis Bistro,3.0,3.0,4.1309457,2.6733234,4.9592757,4.457316,3.0,4.0,36,No specific mentions.,No specific mentions.,"This place has always maintained their food quality and good service! Today we had the fish and chips, the duck confit, chicken rice and pecan pie with vanilla ice cream. Everything was good. Would de...",Nice place with great dishes and desserts. Service is good and price though not cheap but good value.However please be sure to ask them to hold your main course if you are not in a rush.We were party ...,"We had dinner at the Alexis Bistro, Bangsar Shopping Complex. The service was excellent and the food was very good indeed. I enjoyed my medium cooked ribeye steak with black pepper sauce which was suc...","Been going to Alexis for the past 5 years and i'm pleased that the quality and flavour is still as good as when it started. Their pavlovas are definitely one of the best in town. Besides desserts, the...",No specific mentions.
Ali,3.0,3.0,3.8997674,3.0,4.95004,4.162214,3.0,4.027027027027027,37,"Muthu & Ah Hock,""""The downtown KL location is the second Ali, Muthu & Ah Hock outlet after the one in Ara Damansara. A third has since opened in Bangsar South. The Chinatown outlet is in a minimally r...",No specific mentions.,"Muthu & Ah Hock,""""We thoroughly enjoyed the delicious Nasi Lemak Ayam Goreng. The chicken was crispy, juicy and tender inside! Absolutely delicious! Even the cucumber was fresh and crispy!!","Muthu & Ah Hock,""""Though initially the place looked authentic Old traditional Malaysia coffee shop ambience but soon the cracks are seen by first getting our orders wrong, orders doesn’t arrive and al...","Muthu & Ah Hock,Excellent services and very delicious dishes! Love cham very much ❤️ Hope to come here again after this","Muthu & Ah Hock,""""We made a trip to Ali, Muthu and Ah Hock over the weekend. We were pleasantly surprised by the nasi lemak- the sambal was great and the rice was fragrant. The portion of chicken was ...",No specific mentions.
Aliyaa,3.0,3.0,4.57718,2.5900488,4.9167795,4.3005357,3.0,4.362962962962963,405,No specific mentions.,No specific mentions.,The food is very delicious and authentic taste. We asked for paal appam as a desert for our set meal. It is the best paal appam that I ever tasted before. Highly recommended 😍😍😍. The services is good.,Never eaten before but i know the boss is very nice,Have enjoyed a few sumptuous meals here with family and friends. Food is amazing and the atmosphere is clearly relaxing. Great place to enjoy a meal and wind down for the weekend. Great memories with ...,Our last min decision for company dinner and we didn't regret it at all! The foods was really great. Tasty and delicious. The price is quiet pricey but very reasonable. The place are decorated so nice...,No specific mentions.
Aliyaa Island Restaurant & Bar,3.0,3.0,4.6366973,4.271585,4.963352,4.386234,3.0,4.437086092715232,151,"One of the best places to have Sri Lankan food. Went to Aliyaa for my SIL's birthday dinner. We had the recommended Sri Lankan Crab ,Fish Curry and String Hoppers accompanied with some veggie on the s...",No specific mentions.,"Brought my family to eat here for the second time and Aliyaa have outdone themselves again! We had a wonderful meal! We had the mutton pal poriyaal, brinjal monju, Lumprais (which they only do on Sund...","We arrived early by 20 minutes & the restaurant was nearly empty & we were anxious to know whether we have reached the right place but quickly we changed our mind, as soon as the starters arrived- Cur...",I would highly recommend here as the service and food are sooo good . Staffs here are very friendly and helpful and the food here is very delicious ! I will definitely come back with my friends next t...,First visit to Aliyaa and have to say the food and service were great! The sweet appam dessert was my favourite!,No specific mentions.
Altitude,3.0,3.0,3.0,3.0,3.0,4.3780284,3.0,4.1875,16,No specific mentions.,No specific mentions.,Dinner: Japanese Fine Dine Dinner on the 53rd floor Authentic Japanese Cuisine that served fine Japanese foodies. Had the Omakase Course & Seafood Course. Starters with steam monk fish lover and spina...,No specific mentions.,"Great food - the tenderloin was amazing! Ambiance was great with an amazing view of the city. Good re-opening discount as well. Staff was friendly, Azmi was outstanding. Will definitely return.","The afternoon tea service was excellent, with an immense number of items followed by a spectacular dessert assortment, almost too much sugar!",No specific mentions.
Amarin Heavenly Thai,3.0,3.0,4.13514,3.0034678,4.877568,4.6301546,3.0,3.980392156862745,51,No specific mentions.,No specific mentions.,My friend and I love all the menu especially the deep fried fish with thai sauce. The Tom Yam was superb and hottt. We had our reunion there because of the ambiance. Cozy and Yummylicious!!!,We were entertaining my cousin who had come from India for our niece's wedding. We took her to this Thai restaurant on the 2nd Level. My family and my cousin all enjoyed the food there. The waiters ke...,I had a dinner with my husband on his birthday (6/10/2017).The food is really superb and the service is great.The food is not cheap but really value for money.We really enjoy the food.I would definite...,"The food was definitely yummy and in good sized portions. Prices slightly lower than other pricier restaurants. Very helpful and friendly staff, to be commended. Good location at Mid Valley shopping c...",No specific mentions.
Amber Chinese Muslim Restaurant,3.0,3.0,4.440461,3.0,3.0,4.12523,3.0,3.78125,32,No specific mentions.,No specific mentions.,"Fell in love the first time I went there. I tried the beef ribs (rm48 I think, but it was very worthit). They were so juicy and marinated extremely well for the taste. The Beef noodles are also my mus...","This is the second time im here. Last time was perfect. Unfortunately, for my second visit it's just terribly poor!!Please think twice before you want to eat here.or else, you will feel the same thing...","the ambiance is nice and the food is delicious . Ideal place for tem lunch or dinner if have muslim colleagues,",This is an excellent restaurant with a great selection of food - including vegetarian options. Some of the dishes were slightly unusual compared to similar restaurants at home and so it was an interes...,No specific mentions.
Anjappar Indian Chettinad Restaurant,3.0,3.0,3.5944371,3.0,3.0,4.3136754,3.0,3.704918032786885,61,No specific mentions.,No specific mentions.,"The best place to have a Chettinad Dish of South Indian Spicy, recipe. I have enjoyed a lot, that too prawns and briyani were awesome.",We visited the Anjappar restaurant near KL Sentral and were looking forward to having a banana leaf meal for lunch. We ordered the vegetarian set meal and were quite disappointed. The portions were ti...,No specific mentions.,We were walking around and we happened to have lunch in this restaurant! Amazing the people were nice and the food was so good. Really a nice adress!!! Thanks so much!,No specific mentions.
Annalakshmi,3.0,3.0,4.3392806,2.3360593,4.8550115,4.6340814,3.0,4.277777777777778,144,No specific mentions.,No specific mentions.,it's too delectable & scrumptious! The buffet is so cheap & their attitude is really amazing! They serve us very well. My Korean American guest was so happy with my recommendation. Remember to try the...,"I went to Annalakshmi on the basis of reviews here. I don't write many reviews, but feel I have to write one here. The food was very good and on that basis I would have given them a very good review. ...",Loved the ambiance here. It feels very cosy and calm at the same time. A great place to bring friends over for some good food and good conversation!,Food was awesome. My husband and mother enjoyed dearly for a reasonable price. We got to choose our favourite dishes and it tasted good. Clean place with classic traditional set up. Felt wonderful and...,No specific mentions.
Anne Elizabeth The Deli Restaurant,3.0,3.0,4.2044935,3.0,3.0,4.0452538,3.0,4.193548387096774,31,No specific mentions.,No specific mentions.,"The meat was cooked just nice, it was very tender, juicy and tasty. The portobello mushroom is a must try dish, highly recommended. The process food (those sausages and bacons) were slightly salty to ...",Went there to have a family dinner and even we made a reservation before hand we still need to wait for our table but no worries they provide complimentary refreshments while we're waiting for our tab...,"Celebrate colleague birthday over here , Very satisfied with the dinner and their service, will come again very soon.","Many items are really nice for a try, overall and service is great. Will visit again for others occasion.",No specific mentions.
Antara Restaurant,3.0,3.0,3.4901886,3.0,3.0,3.7618356,3.0,3.590909090909091,22,No specific mentions.,"We picked this restaurant because we love Chef Isadora’s cooking. However a few days before the actual meal, the kitchen ran into some technical problems. However we were still willing to give it a tr...","The reviews I had read were mixed, so I was a bit apprehensivevwhen we arrived, but the food and service were superb. The crisp """"""""top hats"""""""" and the chapati with muscle soup were great. My wife en...",No specific mentions.,My parents and I visited KL for the first time this month. It was my birthday while we were out there so we wanted to go somewhere special. We chose this restaurant as the food sounded delicious and t...,"Great twists on Malaysian favourites. Very nice food! Some items very pricey, but many are very reasonable. All yummy!",No specific mentions.
Ante,3.0,3.0,4.45262,3.5283856,4.9711523,4.4104333,3.0,3.9558823529411766,68,No specific mentions.,"brought my wife here as our wedding anniversary dinner. Nice and cosy environment, staff were friendly and more than willing to explain the menu. Food came in decent portion. The pork steak was very t...","We love ANTE Rest. It is the Best ever Pork Restaurant just closed to our home. Been here many times and still love it.My husband's favourite is Pork Steak Diane, Pork Stew and more. I love Crispy Tro...",We had dinner at ANTE on Monday before catching the premiere screening of Ice Age. Firstly we ordered the Tasting Platter as a starter & truly enjoyed the Jamon Iberico & Rock Melon! Followed by ANTE ...,The food is awesome ! First time visit and it is the best pork steak!!! definitely will pay a another visit sometime soon.,We came here for lunch with my group of 3 friends . This restaurant was recommended by one of my girlfriend as she really like the roast pork here . It was my first time . We ordered a few dishes whic...,No specific mentions.
Antipodean @ Mid Valley,3.0,3.0,3.7711663,2.8856027,4.926411,4.4665904,3.0,4.422535211267606,497,No specific mentions.,-adhere to SOP strictly and practise contactless service. Crews will bring foods on wooden plank and customers will need to collect the foods from it.- nice coffee and waffle very solid.,"This is a fantastic place to have meal. We have been supporting Antipodean since 2014. You should try out their big breakfast! You will never be disappointed with the generous portion of mushroom, bac...",Had a good experience with the place and waiter as well. Really an extraordinary services given by the waiters. Even the food was... no words to describe. You should try it☺️,"One of my favourite places for breakfast any time of the day. Love the ambiance, fresh flower on the table and friendly staffs. Got a sweet surprise during my last visit in the form of a cake. Thank y...",We ordered the big breakfast and it was so good. The staff were nice and friendly too. We’re thinking of coming back again tomorrow!,No specific mentions.
Antipodean Bukit Bintang,3.0,3.0,3.0,3.0,4.9706845,4.867642,3.0,4.8,35,No specific mentions.,No specific mentions.,"Perfect toast smashed avocado, very nice marlborough eggs with salmon, good coffee, very friendly staff, nice black and red interior.","Professionally organized and managed place, with staff remembering customers orders or preferences. Really enjoy coming here.",Service is amazing and manager Irfan was nice and polite. The food portion and quality is wonderful! Definitely coming back in the future.,We stayed at the hotel and every morning I looked forward to the breakfast buffet because it was so good! Not only that but the menu has so many different types of amazing food on it!!! Everybody work...,No specific mentions.
Antipodean City Centre,3.0,3.0,3.0,3.0,4.9682612,4.9619336,3.0,4.777777777777778,27,No specific mentions.,No specific mentions.,"Very good food and ambiance especially the fish and chip. Very friendly service. Tartar sauce is nice! Avocado milkshake is nice too! Free flow Tabasco as well. Woohoo. WOOTS WOOTS 😘😘 Best night ever,...",No specific mentions.,Good service!! Friendly staff!! Felt very comfortable! Comfortable atmosphere ~~ The food was delicious!,Situated just next to central market. This cafe has a huge choice of food. I chose the blueberry bagel with banana and bacon. Wow! Just great. The staff were very helpful and friendly and it was a nic...,No specific mentions.
Antipodean Mid Valley,3.0,3.0,4.1352086,2.6183248,4.9578424,4.2124515,3.0,4.22,150,No specific mentions.,No specific mentions.,came for the desserts. the cakes were amazing especially the apple pie and the lemon meringue pie!! will come back here again,Breakfast on a table of six made up of adults and children made for an interesting meal. Coffee was served quickly and it was excellent. I ordered scrambled eggs with smoked salmon and despite another...,The food was good and nice atmosphere. Amazing services! Had a enjoyable brunch with my friends! Definitely coming back again,enjoying #nice place #sweet #lovely and #tasty #hot #chocolates # love it so much #Antipodean Cafe :-),No specific mentions.
Antonio's Trattoria Calabria,3.0,3.0,4.131435,3.0,4.9305105,4.272008,3.0,4.333333333333333,18,No specific mentions.,No specific mentions.,"I had driven past this restaurant for several years before I finally decided one weekend to step in to taste what they had to offer - ever since than, I have been hooked. Ever since than, we have come...","I read good reviews on this restaurant and indeed their food is really good. Their salad, pasta, antipasti, pizza were really good. The lady staff that took my order was very polite and friendly. The ...",Had a great dinner at Antonio's today. Lovely ambiance - perfect for celebrations or for an occasion. The quality of food was fantastic and reasonably priced. Would recommend the Bianco Pizza and the ...,"Best Italian restaurant / bistro in Klang Valley, premium ingredients, highest quality, excellent freshness, authentic Calabrian cuisine, professional and sincerely friendly service with a heart, and ...",No specific mentions.
Arabella Restaurant,3.0,3.0,4.970678,3.0,4.9654164,4.1903024,3.0,4.2727272727272725,22,No specific mentions.,No specific mentions.,Arabella Restaurant is located opposite to the suite Park Royal. It is a nice place for authentic arabic food. their staffs are so welcoming behaved. I like all kebab item there. Their desert is so yu...,"the staff is very un polite, the food took forever b cause the stuff are just standing around talking to each other. Pleaseee make sure of the prices before you order because they will try to play wit...",So satisfied with delicious food. Smell of food made crazy. Best feature of this awsome restaurant is their child friendly couch. Interior dec is quite ok. Staffs are friendly enough. A perfect place ...,"We came to tour from Australia with family. As Malaysia is a favorite food destination for tourists all around the world, among many of our plans, we were also looking for a superb place of middle eas...",No specific mentions.
Aroma Restaurant,3.0,3.0,4.298762,3.0,3.0,4.4648814,3.0,4.24,25,No specific mentions.,No specific mentions.,"This is a wonderfully clean place, which serves you very good food (Indian Cuisine). You get the WORLD's BEST KHICHADI at this restaurant. No other restaurant in this world can serve such khichadi (no...",No specific mentions.,We absolutely enjoyed our lunch in here. Everything was well prepared and we stayed really satisfied by everything. Best Indian cuisine ever!,While I was in KL I ate at this restaurant many times because the food was just so yummy. The chicken tikka masala and the chicken briyani were excellent. We ended up meeting the owner who is a very s...,No specific mentions.
